DayOfWeek,IntervalPeriod,Weekend,BusinessHours,TotalDemand,RRP
2,31,no,yes,10378.39,44.57
2,32,no,yes,10418.14,48.79
2,33,no,yes,10393.57,48.12
2,34,no,yes,10263.08,58.61
2,35,no,yes,9992.67,45.65
2,36,no,yes,9815.82,39.53
2,37,no,no,9430.16,32.42
2,38,no,no,9236.58,35.84
2,39,no,no,9225.8,43.08
2,40,no,no,9021.01,42.64
2,41,no,no,8751.17,42.2
2,42,no,no,8456.87,34.15
2,43,no,no,8316.1,33.74
2,44,no,no,8064.56,31.67
2,45,no,no,7937.85,35.14
2,46,no,no,7662.65,33.91
2,47,no,no,7528.82,40.77
3,0,no,no,7411.16,37.1
3,1,no,no,7224.4,30.04
3,2,no,no,6972.27,30.24
3,3,no,no,6690.2,31.8
3,4,no,no,6438.22,28.69
3,5,no,no,6333.59,30.74
3,6,no,no,6265.99,31.06
3,7,no,no,6251.44,28.89
